open_time,open,high,low,close,volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-01-15 00:30:00,97171.5,97300.0,96750.3,96811.0,2225.696,1024.487,99453996.4347
2025-01-15 00:45:00,96811.1,96957.6,96719.9,96852.0,807.923,461.461,44690496.4163
2025-01-15 01:00:00,96852.0,97171.5,96752.5,96955.2,1605.756,1001.711,97184758.3986
2025-01-15 01:15:00,96955.3,97164.9,96802.0,97077.1,1050.964,466.79,45274073.9601
2025-01-15 01:30:00,97077.0,97409.3,96940.8,97245.3,2963.661,1951.113,189719567.1586
2025-01-15 01:45:00,97244.8,97530.2,96973.0,97306.2,3291.037,1789.153,174128407.2466
2025-01-15 02:00:00,97306.2,97418.7,97059.4,97114.4,2274.913,936.477,91034274.6538
2025-01-15 02:15:00,97114.4,97130.0,96902.4,96907.9,1459.729,572.129,55482132.8786
2025-01-15 02:30:00,96908.0,96940.9,96700.1,96850.2,1782.107,783.709,75878947.4835
2025-01-15 02:45:00,96850.1,97028.5,96781.3,96781.3,736.906,383.135,37136396.6821
2025-01-15 03:00:00,96781.4,97190.8,96781.3,97026.9,1018.08,606.514,58827971.2107
2025-01-15 03:15:00,97027.0,97134.8,96719.8,96892.7,972.502,448.628,43461423.4785
2025-01-15 03:30:00,96892.7,97150.0,96877.0,97040.5,826.235,453.817,44037417.648
2025-01-15 03:45:00,97040.5,97297.2,96967.4,97288.7,850.083,485.603,47184660.6042
2025-01-15 04:00:00,97288.8,97688.0,97213.0,97257.2,4953.618,2842.892,277241732.7314
2025-01-15 04:15:00,97257.3,97392.9,97033.6,97227.6,1937.539,870.728,84630482.4173
2025-01-15 04:30:00,97227.5,97345.0,97152.4,97199.9,1018.93,385.941,37537648.6526
2025-01-15 04:45:00,97199.9,97222.6,97116.0,97151.7,691.283,343.575,33384389.3412
2025-01-15 05:00:00,97151.7,97212.4,96771.6,96810.4,2377.228,858.963,83238157.1947
2025-01-15 05:15:00,96810.5,96995.4,96689.2,96934.2,2690.245,1412.5,136776491.1808
2025-01-15 05:30:00,96934.2,96988.4,96838.8,96950.2,540.506,281.523,27284040.9448
2025-01-15 05:45:00,96950.2,97035.2,96941.9,96989.1,456.583,224.318,21758816.2639
2025-01-15 06:00:00,96989.2,97066.4,96852.1,96852.2,812.192,346.219,33568710.0689
2025-01-15 06:15:00,96852.1,97000.0,96816.8,96816.8,558.616,173.901,16850539.2547
2025-01-15 06:30:00,96816.8,96973.8,96806.5,96932.1,667.749,443.706,42985033.0494
2025-01-15 06:45:00,96932.1,97111.2,96923.0,97062.0,632.579,399.931,38809257.1625
2025-01-15 07:00:00,97061.9,97200.0,97061.9,97113.2,538.651,318.75,30962615.8425
2025-01-15 07:15:00,97113.3,97525.0,97113.3,97489.8,1764.956,986.261,96047557.8548
2025-01-15 07:30:00,97489.9,97549.2,97200.0,97200.0,1722.366,615.946,59988363.6759
2025-01-15 07:45:00,97200.0,97292.4,97121.9,97253.7,902.885,470.462,45729302.7142
2025-01-15 08:00:00,97253.7,97425.8,97186.0,97298.0,864.546,490.475,47734065.5893
